fileName,energyDistribution,zeroCrossing,averageEnergy,label
mu1.wav,3370,0.2451,0.0136,yes
mu2.wav,2253,0.0966,0.0097,yes
mu3.wav,1856,0.0929,0.0079,yes
mu4.wav,1808,0.1142,0.0069,yes
mu5.wav,1868,0.1008,0.0008,yes
mu6.wav,2168,0.0569,0.0110,yes
mu7.wav,1997,0.1288,0.0005,yes
mu8.wav,2705,0.2065,0.0009,yes
mu9.wav,2083,0.0923,0.0022,yes
mu10.wav,1936,0.1243,0.0061,yes
mu11.wav,1709,0.0617,0.0064,yes
mu12.wav,2614,0.2358,0.0104,yes
mu13.wav,1268,0.0682,0.0169,yes
sp1.wav,2647,0.1553,0.0005,no
sp2.wav,2416,0.1221,0.0005,no
sp3.wav,2242,0.1313,0.0005,no
sp4.wav,1298,0.1419,0.1063,no
sp5.wav,2980,0.1833,0.0007,no
sp6.wav,978,0.0579,0.0003,no
sp7.wav,1660,0.0812,0.0083,no
sp8.wav,883,0.0738,0.0165,no
sp9.wav,1015,0.1032,0.1503,no
sp10.wav,1024,0.1432,0.1390,no
sp11.wav,2186,0.1349,0.0006,no
sp12.wav,2289,0.1728,0.0071,no
sp13.wav,1133,0.0956,0.1771,no
